기관명,대수,회기,의안번호,의안명,의안종류,발의일,발의자,발의자구분,공동발의여부,대표발의의원,공동발의의원,소관위원회,위원회상정일,위원회의결일,위원회처리결과,본회의상정일,본회의의결일,본회의처리결과,본회의회의록URL
남양주시의회,9,제287회,1,의장 선거의 건,기타,2022-07-01,김현택(의장직무대행),의회발의,,,,,,,,2022-07-01,2022-07-01,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3104
남양주시의회,9,제287회,2,부의장 선건의 건,기타,2022-07-01,의장,의회발의,,,,,,,,2022-07-01,2022-07-01,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3104
남양주시의회,9,제287회,3,상임위원회 위원 선임의 건,기타,2022-07-05,의장,의회발의,,,,,,,,2022-07-05,2022-07-05,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3125
남양주시의회,9,제287회,4,자치행정위원회 위원장 선거의 건,기타,2022-07-05,의장,의회발의,,,,,,,,2022-07-05,2022-07-05,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3125
남양주시의회,9,제287회,5,복지환경위원회 위원장 선거의 건,기타,2022-07-05,의장,의회발의,,,,,,,,2022-07-05,2022-07-05,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3125
남양주시의회,9,제287회,6,도시교통위원회 위원장 선거의 건,기타,2022-07-05,의장,의회발의,,,,,,,,2022-07-05,2022-07-05,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3125
남양주시의회,9,제287회,7,상임위원회 위원 변경의 건,기타,2022-07-06,의장,의회발의,,,,,,,,2022-07-06,2022-07-06,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3126
남양주시의회,9,제287회,8,운영위원회 위원 선임의 건,기타,2022-07-06,의장,의회발의,,,,,,,,2022-07-06,2022-07-06,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3126
남양주시의회,9,제287회,9,운영위원회 위원장 선거의 건,기타,2022-07-06,의장,의회발의,,,,,,,,2022-07-06,2022-07-06,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3126
남양주시의회,9,제287회,10,회기 결정의 건,기타,2022-07-06,의장,의회발의,,,,,,,,2022-07-06,2022-07-06,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3126
남양주시의회,9,제287회,11,회의록 서명 의원 선출의 건,기타,2022-07-06,의장,의회발의,,,,,,,,2022-07-06,2022-07-06,,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3126
남양주시의회,9,제288회,12,남양주시의회 위원회 조례 일부개정조례안,조례안,2022-07-12,김영실 김지훈(국) 조성대 이상기 이경숙 박경원,의회발의,Y,김영실,조성대 김지훈(국) 박경원 이상기 이경숙,운영위원회,2022-07-22,2022-07-22,원안가결,2022-07-25,2022-07-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3133
남양주시의회,9,제288회,13,2021년도 공유재산관리계획 변경안(별내 노인복지관 건립),기타,2022-07-12,시장,시장발의,,,,,2022-07-22,2022-07-22,원안가결,2022-07-25,2022-07-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3133
남양주시의회,9,제288회,14,2022년도 공유재산관리계획 수시2차안(신송능배수지 및 송·배수관로 설치공사),기타,2022-07-12,시장,시장발의,,,,자치행정위원회,2022-07-22,2022-07-22,원안가결,2022-07-25,2022-07-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3133
남양주시의회,9,제288회,15,"도시관리계획(용도지역 변경, 주차장365) 변경 결정 의견청취안",의견청취,2022-07-12,시장,시장발의,,,,도시교통위원회,2022-07-22,2022-07-22,원안가결,2022-07-25,2022-07-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3133
남양주시의회,9,제288회,16,덕소 재정비촉진지구 재정비촉진계획 변경 의견청취안,의견청취,2022-07-12,시장,시장발의,,,,도시교통위원회,2022-07-22,2022-07-22,원안가결,2022-07-25,2022-07-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3133
남양주시의회,9,제289회,17,남양주시의회 위원회 조례 일부개정조례안,조례안,2022-08-17,이수련 김지훈(민) 박경원 김영실 김지훈(국) 이경숙 조성대 김상수,의회발의,Y,이수련,김지훈(민) 박경원 김영실 김지훈(국) 이경숙 조성대 김상수,운영위원회,2022-08-30,2022-08-30,원안가결,2022-09-07,2022-09-07,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3154
남양주시의회,9,제289회,18,남양주시의 공론화위원회 설치 및 운영 조례안,조례안,2022-08-17,박은경 한근수 이진환 손정자 이수련 박윤옥 전혜연 원주영,의회발의,,,,자치행정위원회,2022-08-29,,보류,,,,
남양주시의회,9,제289회,19,남양주시 지역상권 상생 및 활성화에 관한 조례안,조례안,2022-08-17,김지훈(국) 김영실 이진환 김지훈(민) 원주영 전혜연 이수련,의회발의,Y,김지훈(국),김영실 이진환 김지훈(민) 원주영 전혜연 이수련,자치행정위원회,2022-08-29,2022-08-29,원안가결,2022-09-07,2022-09-07,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3154
남양주시의회,9,제289회,20,남양주시 음식판매자동차 영업장소 등에 관한 조례 일부개정조례안,조례안,2022-08-17,이진환 김지훈(국) 한근수 김동훈 조성대 김지훈(민) 김상수 이정애 이수련 정현미 박은경 전혜연 원주영,의회발의,Y,이진환,김지훈(국) 한근수 김동훈 조성대 김지훈(민) 김상수 이정애 이수련 정현미 박은경 전혜연 원주영,자치행정위원회,2022-08-29,2022-08-29,원안가결,2022-09-07,2022-09-07,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3154
